Address,Name,Salary,Category,Education,Experience,Company Name,Description
马坊,A平谷电子厂包吃住260,6500-8000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,"平谷电子厂招聘普工，长白班岗位没有夜班主要负责半导体的组装及质检8:30-20:30,   210每天8:30-22:30,   260每天工资三天后日结，少干一个月，吃饭住宿一日三餐完全免费，（水电费均摊）要求：22-45周岁，无犯罪记录，少量纹身遮盖住没有问题。感兴趣投简历详谈！"
大兴,普工包吃住无工服押金,5500-7000元/月,普工/操作工,不限,不限,北京北汽模塑科技有限公司,北汽模塑，一场，二场均可面试。面试岗位：汽车保险杠喷涂.注塑.装配.物流.食宿介绍：包吃住薪资待遇：基本工资+绩效工资+技能工资+加班费+夜班补助，综合工资5500-7000招聘要求：年龄20-35周岁，无明显文身，无犯罪记录工作地址：北京大兴采育
工体,来北京上班有宿舍报销路费,8000-15000元/月,普工/操作工,不限,不限,饿了么配送合作商,工作内容：取餐，送餐职位要求：会骑车，会导航，能吃苦！！工作时间：上午10点-14点 下午17-21点，每天8小时全城可安排！ 月休3-4！不压工资，配车~可预支工资
马坊,半导体拧螺丝310包食宿,6000-9000元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,日结260元加50元夜补，包吃包住要求22-45周岁，无经验要求2个班次自由选择，都是长白班8：30—20：30，210元/天8：30—22：30 ，260元/天压三天后日结吃饭住宿一日三餐全部免费，工资纯赚组装半导体设备，轻松不累3个月后转正上北京五险
十八里店,急招急招——8500起,10000-13000元/月,普工/操作工,不限,不限,饿了么配送合作商,外卖站点直招，单多价高，经济上有困难可预支工资有意向请直接投递简历。1.骑电动车 取餐 送餐 配送范围所在站点三公里以内的外卖餐品，饮品，鲜花，日常用品的配送。  系统派单，无需抢单，APP自动接单 ，入职有老员工带教，有无经验都可以的2.入职要求：年龄18-50周岁 身体健康（办理健康证） 无不良嗜好 没有犯罪记录 会骑电动车 会用导航。3.工作时间：早上10点——中午2点 下午5点——晚上9点（注：这两个时间段需要在岗，其他时间自由安排）月有效出勤27天可调休连休。4. 薪资待遇：提成7-12元/单+补贴+奖励 每天接单量40-70单 接单没有上限 跑的多挣得多！！早餐，夜宵，远距离，重量，大额订单，雨天各种补贴1-4元每单。超过3公里以外有补贴APP活动奖励 综合薪资10000+++5.提供装备，电动车提供宿舍。公寓：1-2人间，可洗澡，有空调。楼房：4-6人间，可洗澡有空调，入职当天可安排住宿电动车：无限换电，续航120公里6.骑手跟有合作的商家吃饭：打折5-7折
顺义城区,管吃住 组装操作工,6000-7800元/月,组装/装配工,不限,不限,北京鸿宇飞企业咨询有限公司,长白班日结260元包吃包住组装半导体设备，轻松不累22-45周岁，无经验要求可以转正上北京五险固定每周日休息
西单,北京十点上班到点下班,8000-15000元/月,普工/操作工,不限,不限,饿了么配送合作商,工作内容：取餐，送餐职位要求：会骑车，会导航，能吃苦！！工作时间：上午10点-14点 下午17-21点，每天8小时全城可安排！ 月休3-4！不压工资，配车~可预支工资
不老屯,坐岗253天发上四休一,6000-7500元/月,普工/操作工,不限,不限,北京鸿宇飞企业咨询有限公司,无任何费用！！厂区直招！！！！！工作环境舒适期待你的加入国企单位薪资稳妥，厂区直招，无任何套路无任何费用工作时间：10个小时左右，管吃住生产汽车线束 不是流水线薪资待遇：22/8时，日结 年龄18-45人员要求：身体健康能吃苦耐劳，具有较强的责任心工作简单，简单易学，无尘车间，整洁干净公司包吃住，有食堂早餐：面包、鸡蛋、大饼、麻团等主食，炒饭、豆浆、稀饭等自助中餐：二荤三素晚餐：和中餐一样，有水果，绿豆汤等
李桥,钣金工学徒,面议,学徒工,不限,不限,北京通达瑞旺汽车销售有限公司,岗位职责：1、根据安排，完成车辆的钣金维修工作；2、负责本工位设备及工具的维护与保养；3、负责工序质量的自检和互检；4、负责工位区域环境5S。任职资格：1、高中以上文化，1年以上钣金维修经验；2、具备钣金维修专业知识；3、爱岗敬业，做事认真细致；4、服务意识强，适应团队工作。工作地点;顺义李桥通顺路李桥段4号
真武庙,综合维修工,3500-4300元/月,普工/操作工,高中,不限,中国职工之家,工作内容：1.坚持巡视制度。2.定期对公共场所门、窗、墙面、吊顶进行维修保养，并保持良好的状态。职位要求：1.50岁以下，身体健康，性格开朗；2.掌握装修基本技能，熟悉各种电动工具的使用；3.有相应的酒店维修工作经验的优先。
大兴,诚聘焊工会装配6000起,6000-8000元/月,焊工,技校,3-5年,北京精诚利德真空科技有限公司,岗位职责：1、根据生产工艺完成设备的铆焊工作。2、能看懂图纸，并按图纸施工。3、有真空炉行业经验者优先。任职资格：1、中专及以上学历，持有焊工证；2、二年以上焊工经验；3、熟悉各种设备的焊接材料及其相应的焊接要求，并使用熟练；4、有进取心、高度的事业心、责任感和良好的职业道德。5、为人正直朴实，有良好的团队合作精神。
丰台,高薪招聘包吃住仓储装卸工,6000-10000元/月,装卸/搬运工,不限,不限,北京富利达物流有限公司,岗位职责：1、负责货物出、入库的装卸和搬运工作装车卸车，没有大件物品，都是小件。2、负责入库货物的摆放，做到合理、整齐；3、负责协助送货人员提货作业。任职资格：1、年龄在16-57周岁之间，身体健康，有责任心， 想挣钱的来。2、熟悉货运的出入库作业、和翻班制度3、1年以上的装卸货经验者优先。薪资福利工作时间：1、有保底工资满勤奖，午休1小时，超出算加班（有加班费），每个月有薪休假4天双休，连休都可以，工资每月准时发放从不拖延。2、公司管吃管住，当天可以安排上班，住宿。洗衣机无线空调地暖都有。节假日不回家有补助公司为员工提供专业的培训学习机会 ，广阔的晋升发展空间，优厚的福利待遇，节日礼品，带薪时间较长的年假，完善的奖励激励政策，团队氛围好，领导nice。只要您有目标，有想法，这里都会有展示的空间！期待您的加入一起打造美的事业体现个人价值！有意者随时电话联系，长期短期都可以，可日结工资兼职。
