Date,Open,Close,Change,Zhangdiefu,Low,High,Succeed,Succeed Price
2019-06-19,2944.12,2917.80,27.64,0.96%,2916.21,2953.34,230756960,22556726.00
2019-06-18,2891.09,2890.16,2.54,0.09%,2874.31,2898.33,147705328,13693524.00
2019-06-17,2880.42,2887.62,5.65,0.20%,2877.39,2902.48,153964960,14314163.00
2019-06-14,2913.00,2881.97,-28.77,-0.99%,2879.66,2924.32,215435792,19430312.00
2019-06-13,2905.29,2910.74,1.36,0.05%,2885.92,2918.42,212957792,19174822.00
2019-06-12,2917.22,2909.38,-16.34,-0.56%,2903.88,2924.70,240255776,22306394.00
2019-06-11,2854.07,2925.72,73.59,2.58%,2854.07,2927.43,260525792,25448000.00
2019-06-10,2833.01,2852.13,24.33,0.86%,2824.36,2861.13,166585920,16248983.00
2019-06-06,2862.33,2827.80,-33.62,-1.17%,2822.19,2862.33,177064400,16485055.00
2019-06-05,2882.94,2861.42,-0.86,-0.03%,2858.57,2888.77,181561040,17520084.00
2019-06-04,2887.64,2862.28,-27.80,-0.96%,2851.97,2888.39,188463536,18111892.00
2019-06-03,2901.74,2890.08,-8.62,-0.30%,2875.90,2920.83,215943552,20807332.00
2019-05-31,2904.50,2898.70,-7.11,-0.24%,2895.58,2922.91,195230576,19128040.00
2019-05-30,2903.42,2905.81,-8.89,-0.31%,2881.38,2907.85,205758784,19710554.00
2019-05-29,2894.83,2914.70,4.79,0.16%,2890.66,2934.98,198958816,20285504.00
2019-05-28,2890.27,2909.91,17.53,0.61%,2887.08,2924.04,223310560,22725382.00
2019-05-27,2851.28,2892.38,39.38,1.38%,2833.04,2898.13,196720912,19376872.00
2019-05-24,2847.84,2852.99,0.48,0.02%,2846.02,2871.86,167205488,16268932.00
2019-05-23,2880.84,2852.52,-39.19,-1.36%,2846.96,2885.14,197340304,19286948.00
2019-05-22,2905.52,2891.70,-14.26,-0.49%,2879.64,2912.40,200026912,19362938.00
2019-05-21,2867.71,2905.97,35.36,1.23%,2862.50,2919.24,211387024,20277778.00
2019-05-20,2874.80,2870.60,-11.69,-0.41%,2838.45,2882.63,209472448,19921078.00
2019-05-17,2955.77,2882.30,-73.41,-2.48%,2873.80,2956.78,266301648,24787518.00
2019-05-16,2933.50,2955.71,17.03,0.58%,2929.06,2956.17,248385696,22620308.00
2019-05-15,2902.64,2938.68,55.07,1.91%,2902.64,2945.39,230519712,22626278.00
2019-05-14,2872.83,2883.61,-20.10,-0.69%,2872.83,2909.20,208345360,20122330.00
2019-05-13,2905.07,2903.71,-35.50,-1.21%,2892.17,2921.41,212029888,20262412.00
2019-05-10,2878.23,2939.21,88.26,3.10%,2838.38,2941.45,282306816,27417626.00
2019-05-09,2871.20,2850.95,-42.80,-1.48%,2845.04,2888.86,200041120,19744688.00
2019-05-08,2873.14,2893.76,-32.63,-1.12%,2866.70,2929.43,231530512,21889262.00
2019-05-07,2914.29,2926.39,19.93,0.69%,2889.07,2937.28,253281776,24544422.00
2019-05-06,2984.73,2906.46,-171.87,-5.58%,2876.47,2986.54,326972288,31433650.00
2019-04-30,3052.62,3078.34,15.84,0.52%,3052.62,3088.41,222302512,22549814.00
2019-04-29,3090.63,3062.50,-23.90,-0.77%,3050.03,3107.76,292114880,28906328.00
2019-04-26,3108.16,3086.40,-37.43,-1.20%,3085.80,3129.21,280873856,27477640.00
2019-04-25,3190.59,3123.83,-77.79,-2.43%,3123.03,3193.75,325879136,30907610.00
2019-04-24,3203.56,3201.61,3.02,0.09%,3156.61,3210.65,274872160,27841086.00
2019-04-23,3211.87,3198.59,-16.45,-0.51%,3186.76,3231.58,328361216,32487018.00
2019-04-22,3278.49,3215.04,-55.75,-1.70%,3206.88,3279.49,353217376,35915428.00
2019-04-19,3250.15,3270.80,20.60,0.63%,3226.81,3274.33,315198016,31513192.00
2019-04-18,3261.07,3250.20,-12.92,-0.40%,3241.83,3271.39,325539936,32350818.00
2019-04-17,3250.15,3263.12,9.52,0.29%,3239.80,3275.33,357541792,35450988.00
2019-04-16,3164.40,3253.60,75.81,2.39%,3153.21,3253.60,357918752,36016664.00
2019-04-15,3233.46,3177.79,-10.84,-0.34%,3177.27,3253.98,348809792,35566612.00
2019-04-12,3184.86,3188.63,-1.34,-0.04%,3168.04,3199.28,289788992,28890896.00
2019-04-11,3241.55,3189.96,-51.97,-1.60%,3185.55,3254.13,353031872,36068456.00
2019-04-10,3224.65,3241.93,2.27,0.07%,3204.88,3264.78,380134400,39566996.00
2019-04-09,3240.39,3239.66,-5.15,-0.16%,3215.70,3251.65,364169984,38027296.00
2019-04-08,3271.27,3244.81,-1.76,-0.05%,3210.52,3288.45,504518400,50643124.00
2019-04-04,3233.69,3246.57,30.28,0.94%,3216.85,3254.14,469117664,47515640.00
2019-04-03,3159.15,3216.30,39.47,1.24%,3152.33,3219.26,430548608,44262204.00
2019-04-02,3183.27,3176.82,6.46,0.20%,3164.91,3193.27,447068992,46266208.00
2019-04-01,3111.66,3170.36,79.60,2.58%,3111.66,3176.62,466124672,48008592.00
2019-03-29,3000.68,3090.76,95.81,3.20%,2999.99,3093.03,375083008,38669964.00
2019-03-28,3009.80,2994.94,-27.78,-0.92%,2991.78,3025.78,288106432,28955456.00
2019-03-27,3012.26,3022.72,25.62,0.85%,2987.77,3022.76,291390368,29507598.00
2019-03-26,3057.56,2997.10,-45.94,-1.51%,2988.49,3062.69,353498016,34144484.00
2019-03-25,3058.80,3043.03,-61.12,-1.97%,3041.95,3087.00,380278752,37537564.00
2019-03-22,3100.73,3104.15,2.69,0.09%,3064.88,3107.28,364848320,35667832.00
2019-03-21,3094.12,3101.46,10.81,0.35%,3086.85,3125.02,414251168,40393980.00
2019-03-20,3084.17,3090.64,-0.33,-0.01%,3053.45,3102.52,358557504,34929540.00
2019-03-19,3099.90,3090.98,-5.44,-0.18%,3076.36,3113.43,350908864,35321680.00
2019-03-18,3027.80,3096.42,74.67,2.47%,3009.51,3096.42,397797184,39846960.00
2019-03-15,3000.88,3021.75,31.07,1.04%,2999.43,3048.12,341206144,34472148.00
2019-03-14,3013.60,2990.69,-36.27,-1.20%,2968.82,3041.16,373141792,35624036.00
2019-03-13,3062.33,3026.95,-33.36,-1.09%,3013.93,3065.29,453214624,45124732.00
2019-03-12,3049.08,3060.31,33.31,1.10%,3029.90,3093.39,511173152,48706664.00
2019-03-11,2969.08,3026.99,57.13,1.92%,2963.58,3028.25,426213056,40436844.00
2019-03-08,3038.34,2969.86,-136.56,-4.40%,2969.58,3075.05,577855488,52559828.00
2019-03-07,3103.67,3106.42,4.32,0.14%,3074.98,3129.94,583817024,52572524.00
2019-03-06,3060.43,3102.10,47.85,1.57%,3050.11,3103.83,555006336,48547832.00
2019-03-05,3019.88,3054.25,26.67,0.88%,3009.45,3054.96,424142528,38276856.00
2019-03-04,3015.94,3027.58,33.57,1.12%,3006.94,3090.80,525649440,48060368.00
2019-03-01,2954.40,2994.00,53.05,1.80%,2930.83,2994.00,345786208,30733766.00
2019-02-28,2950.05,2940.95,-12.87,-0.44%,2930.20,2965.30,350206592,29876394.00
2019-02-27,2939.93,2953.82,12.31,0.42%,2924.64,2997.49,474976448,41183764.00
2019-02-26,2969.10,2941.52,-19.77,-0.67%,2938.62,2995.68,565558016,49239656.00
2019-02-25,2838.39,2961.28,157.06,5.60%,2838.39,2961.80,528658592,46599144.00
2019-02-22,2749.46,2804.23,52.42,1.91%,2736.33,2804.23,301481408,26451888.00
2019-02-21,2759.94,2751.80,-9.42,-0.34%,2744.98,2794.01,298649984,25303338.00
2019-02-20,2761.06,2761.22,5.57,0.20%,2739.98,2767.41,245972528,20544692.00
2019-02-19,2759.50,2755.65,1.29,0.05%,2737.59,2780.78,288046272,24712106.00
