职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
中小学数学教师,开平市长沙贝书堂教育信息咨询服务中心,4-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（教师教务）']",
新媒体运营,开平市长沙渔乐泯美食店,4-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '新媒体运营']",
托管老师,开平市长沙萌乐咨询策划服务部,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '托管老师']",
家具设计助理,开平市长沙和木建材店,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '家具/家居设计']",
澳莱招聘传菜员,开平市长沙澳莱酷品牛扒店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '打荷/杂工']",
美容店长合伙人,开平市长沙膜法世家商店,3-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '美容师']",
汽车洗车工,开平市长沙粤邦汽车修理服务部,2-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（专业服务）']",
保洁领班/主管,长沙双瑞物业管理有限公司珠海分公司,4-5K,珠海市/香洲区,06-24 刷新过,"['年龄不限', '保洁']",
电商客服,开平市长沙优颜商店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '客服专员']",
音乐教师,开平市长沙音乐世家琴行,5-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '音乐教师']",
模特,开平市长沙亚宪服装店,4-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '演员/艺人']",
设计师,开平市长沙圣梵诺商店,5-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '家具/家居设计']",
保洁煮饭阿姨,开平市长沙幸富美食店,2-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '保洁']",
舞蹈教练,开平市长沙极速艺术中心,6-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '舞蹈教师']",
理疗师,开平市长沙泰享受保健服务部,6-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '康复理疗师']",
房地产销售总监,开平市长沙正信房地产信息咨询服务中心,10-11K,江门市/开平市,06-24 刷新过,"['年龄不限', '置业顾问/房产经纪人']",
房地产文员,开平市长沙正信房地产信息咨询服务中心,5-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '置业顾问/房产经纪人']",
清洁,开平市长沙嘉汇幼儿园,2-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '保洁']",
养发师,开平市长沙街道察发古道美发馆,3-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '发型师']",
美甲师,开平市长沙奈沐美甲店,4-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '美甲师']",
汽车美容技师,开平市长沙爵豪汽车美容服务中心,4-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '汽车美容']",
枫伝招聘烧烤师傅,开平市长沙枫伝寿司店,7-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '厨师']",
资深美容顾问：高薪高保底+五险+分红+团建,开平市长沙洋程美容院,9-14K,江门市/开平市,06-24 刷新过,"['年龄不限', '美容师']",
新媒体采编,开平市长沙先行旅游策划中心,5-6K,江门市/鹤山市,06-24 刷新过,"['年龄不限', '记者']",
数学教师,开平市长沙竹林学堂儿童托管中心,4-9K,江门市/开平市,06-24 刷新过,"['年龄不限', '数学教师']",
汽车美容洗车工,开平市长沙万捷汽车轮胎经营部,1-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '汽车美容']",
设计师助理,开平市长沙品玛定制家具店,2-7K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（设计）']",
养生理疗师,开平市长沙泰享受保健服务部,7-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '康复理疗师']",
家装室内设计师,开平市长沙洛贝诗家具设计部,1-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '室内设计']",
全屋家具定制设计师,开平市长沙欧菲斯家俬店,6-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '家具/家居设计']",
汽车美容,开平市长沙歌途汽车维修部,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '汽车美容']",
健康顾问,开平市长沙妙禾健康咨询服务部,4-9K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（医院/医疗）']",
主笔设计师,开平市长沙家装一站装饰设计中心,3-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '家具/家居设计']",
城市合伙人,开平市长沙九芯商行,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '城市经理']",
金百汇汽车修理行招聘机修工,开平市长沙金百汇汽车修理厂,1-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '机修工']",
品玛定制招聘木工,开平市长沙品玛定制家具店,6-11K,江门市/开平市,06-24 刷新过,"['年龄不限', '木工']",
高级美甲美睫师,开平市长沙张小美甲店,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '美甲师']",
跟单与仓管,开平市长沙骏益家具店,4-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '生产跟单']",
家居设计,开平市长沙银枫家具店,5-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '家具/家居设计']",
宠物医生助理,开平市长沙瑞康动物诊所,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '兽医']",
课程幼师,开平市长沙萌乐咨询策划服务部,3-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '幼教/早教']",
销售运营,开平市长沙品优家具店,1-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '销售代表']",
小提琴、古筝、钢琴、吉他老师、前台教务,开平市长沙邑艺琴行,6-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '音乐教师']",
设计师,开平市长沙泰盛建材店,6-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '室内设计']",
珠宝销售,开平市长沙金六福珠宝店,3-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '销售代表']",
洗车美容,开平市长沙优车酷汽车维修店,2-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '汽车美容']",
业务员,开平市长沙欧菲斯家俬店,11-20K,江门市/开平市,06-24 刷新过,"['年龄不限', '药品市场推广']",
餐饮营销经理,开平市长沙澳莱酷品牛扒店,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '餐饮']",
汽车美容工,开平市长沙车之道洗车店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '汽车美容']",
全屋定制设计师，拆单员,开平市长沙欧菲斯家俬店,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '家具/家居设计']",
广告设计师,开平市长沙飞言广告策划服务部,2-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（设计）']",
汽修店长,开平市长沙顺业汽车维修中心,5-8K,江门市/新会区,06-24 刷新过,"['年龄不限', '汽车售后服务']",
美甲师,开平市长沙壹号美甲店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '美甲师']",
销售70%提成,开平市长沙正信房地产信息咨询服务中心,9-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '置业顾问/房产经纪人']",
高级美甲美睫师,开平市长沙张小美甲店,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '美甲师']",
设计助理文员,开平市长沙和木建材店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（设计）']",
